as_of_year,respondent_id,agency_name,agency_abbr,agency_code,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,preapproval_name,preapproval,action_taken_name,action_taken,msamd_name,msamd,state_name,state_abbr,state_code,county_name,county_code,census_tract_number,applicant_ethnicity_name,applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_race_name_2,applicant_race_2,applicant_race_name_3,applicant_race_3,applicant_race_name_4,applicant_race_4,applicant_race_name_5,applicant_race_5,co_applicant_race_name_1,co_applicant_race_1,co_applicant_race_name_2,co_applicant_race_2,co_applicant_race_name_3,co_applicant_race_3,co_applicant_race_name_4,co_applicant_race_4,co_applicant_race_name_5,co_applicant_race_5,applicant_sex_name,applicant_sex,co_applicant_sex_name,co_applicant_sex,applicant_income_000s,purchaser_type_name,purchaser_type,denial_reason_name_1,denial_reason_1,denial_reason_name_2,denial_reason_2,denial_reason_name_3,denial_reason_3,rate_spread,hoepa_status_name,hoepa_status,lien_status_name,lien_status,edit_status_name,edit_status,sequence_number,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,application_date_indicator
2016,0000501105,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,224,Not applicable,3,Loan originated,1,"Phoenix, Mesa, Scottsdale - AZ",38060.0,Arizona,AZ,4.0,Maricopa County,13.0,4226.06,Not applicable,4,Not applicable,4,Not applicable,7,,,,,,,,,Not applicable,7,,,,,,,,,Not applicable,4,Not applicable,4,,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,Quality edit failure only,6.0,7130,9135.0,20.5,62900.0,163.97000122070312,2279.0,2520.0,0
2016,38-2799035,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,171,Not applicable,3,Loan purchased by the institution,6,"Bremerton, Silverdale - WA",14740.0,Washington,WA,53.0,Kitsap County,35.0,9401.0,Not applicable,4,Not applicable,4,Not applicable,7,,,,,,,,,Not applicable,7,,,,,,,,,Not applicable,4,Not applicable,4,,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,5562,6149.0,21.030000686645508,78100.0,96.97000122070312,1780.0,2581.0,2
2016,0000451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,287,Not applicable,3,Loan purchased by the institution,6,"Riverside, San Bernardino, Ontario - CA",40140.0,California,CA,6.0,San Bernardino County,71.0,9.01,Hispanic or Latino,1,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,81.0,Freddie Mac (FHLMC),3,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,1077214,4600.0,61.2400016784668,61400.0,85.72000122070312,690.0,1182.0,2
2016,0000716456,Office of the Comptroller of the Currency,OCC,1,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,80,Not applicable,3,Application withdrawn by applicant,4,Akron - OH,10420.0,Ohio,OH,39.0,Summit County,153.0,5331.02,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,Male,1,Female,2,50.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,Quality edit failure only,6.0,6002,2619.0,9.199999809265137,66900.0,213.11000061035156,802.0,885.0,0
2016,27-2389039,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,157,Preapproval was not requested,2,Loan originated,1,Camden - NJ,15804.0,New Jersey,NJ,34.0,Burlington County,5.0,7028.04,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Black or African American,3,,,,,,,,,Black or African American,3,,,,,,,,,Female,2,Male,1,93.0,"Life insurance company, credit union, mortgage bank, or finance company",7,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,2252,2647.0,83.04000091552734,84200.0,91.45999908447266,989.0,1030.0,0
2016,0000808176,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,800,Not applicable,3,Loan originated,1,Lafayette - LA,29180.0,Louisiana,LA,22.0,Lafayette Parish,55.0,14.01,Not applicable,4,No co-applicant,5,Not applicable,7,,,,,,,,,No co-applicant,8,,,,,,,,,Not applicable,4,No co-applicant,5,,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,Quality edit failure only,6.0,31,8890.0,16.959999084472656,63100.0,212.83999633789065,2408.0,2710.0,0
2016,0000451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,144,Not applicable,3,Loan purchased by the institution,6,"North Port, Sarasota, Bradenton - FL",35840.0,Florida,FL,12.0,Manatee County,81.0,1.01,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,42.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,1162089,1682.0,18.850000381469727,61900.0,96.66999816894533,243.0,220.0,2
2016,20-2752826,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,55,Not applicable,3,Loan originated,1,,,Oregon,OR,41.0,Douglas County,19.0,1200.0,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,36.0,Ginnie Mae (GNMA),2,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,1386,7666.0,13.239999771118164,51900.0,69.54000091552734,1455.0,2992.0,0
2016,22-3039688,Consumer Financial Protection Bureau,CFPB,9,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,169,Not applicable,3,Loan purchased by the institution,6,,,Minnesota,MN,27.0,Goodhue County,49.0,809.0,Not applicable,4,Not applicable,4,Not applicable,7,,,,,,,,,Not applicable,7,,,,,,,,,Not applicable,4,Not applicable,4,,Ginnie Mae (GNMA),2,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,266732,5366.0,4.059999942779541,63800.0,117.31999969482422,1700.0,2117.0,2
2016,7197000003,Department of Housing and Urban Development,HUD,7,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,149,Not applicable,3,Application denied by financial institution,3,"Little Rock, North Little Rock, Conway - AR",30780.0,Arkansas,AR,5.0,Saline County,125.0,105.08,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,59.0,Loan was not originated or was not sold in calendar year covered by register,0,Credit application incomplete,7.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,472788,4366.0,3.990000009536743,62400.0,94.16000366210938,1468.0,1803.0,0
